student_id,total_errors,error_rate,avg_attempts,max_attempts,avg_rt,rt_std,avg_error_consistency,correction_rate,fast_guess_rate,slow_attempt_rate,improvement_trend,plateaus,struggle_index,immediate_correction,consecutive_errors,first_try_success,time_efficiency,give_up_rate,true_error_type,cluster,inferred_taxonomy
1,9,0.45,1.45,2,36.83061042147093,8.297026929384609,0.2,1.0,0.0,0.0,-0.049999999999999996,3,0.5340438511113285,1.0,9,0.55,2.540042098032478,0.0,3,0,Procedural Errors
2,8,0.4,1.4,2,36.78166275781604,14.220124206597694,0.2,1.0,0.0,0.0,-0.12500000000000003,1,0.5149432786094246,1.0,11,0.6,2.627261625558289,0.0,3,0,Procedural Errors
3,9,0.45,1.45,2,35.19865543765856,10.539436814999284,0.2,1.0,0.0,0.0,-0.07499999999999996,1,0.510380503846049,1.0,9,0.55,2.427493478459211,0.0,3,0,Procedural Errors
4,9,0.45,1.45,2,36.186133176837004,11.392816062667414,0.2,1.0,0.0,0.05,0.12500000000000003,2,0.5246989310641365,1.0,10,0.55,2.4955953915060003,0.0,3,0,Procedural Errors
5,10,0.5,1.7,3,38.07506395340285,20.561220520229572,0.48634098117572744,1.0,0.0,0.2,-1.2067383328930179e-17,4,0.6472760872078485,0.6,10,0.5,2.2397096443178146,0.0,2,3,Partial Understanding
6,7,0.35,1.35,2,35.85442533651201,11.638138342412429,0.19999999999999998,1.0,0.0,0.05,-0.025000000000000012,2,0.48403474204291214,1.0,7,0.65,2.655883358260149,0.0,3,0,Procedural Errors
7,4,0.2,1.2,2,28.826460486118854,11.532491964669193,0.1,1.0,0.0,0.0,0.04999999999999998,3,0.3459175258334263,1.0,11,0.8,2.4022050405099047,0.0,4,1,Careless Mistakes
8,13,0.65,2.15,4,41.35498364164369,17.4195100891556,0.8411584310350775,1.0,0.0,0.15,-0.04999999999999994,1,0.8891321482953393,0.46153846153846156,12,0.35,1.9234876112392414,0.0,0,4,Misconception Errors
9,5,0.25,1.25,2,33.91701282842105,11.65287037403063,0.2,1.0,0.0,0.05,-0.04999999999999998,1,0.4239626603552631,1.0,11,0.75,2.713361026273684,0.0,3,1,Careless Mistakes
10,13,0.65,2.5,4,34.656760582277656,14.666582832948178,0.826719490271353,1.0,0.0,0.05,0.10000000000000003,1,0.8664190145569414,0.07692307692307693,11,0.35,1.3862704232911063,0.0,0,4,Misconception Errors
11,10,0.5,1.75,3,36.50556677433616,20.046189394651435,0.474509576284252,1.0,0.0,0.1,-1.2067383328930179e-17,4,0.6388474185508828,0.5,10,0.5,2.0860323871049236,0.0,2,3,Partial Understanding
12,10,0.5,1.85,3,43.84074748588943,16.43168233570092,0.5105039408484014,1.0,0.0,0.25,-1.2067383328930179e-17,4,0.8110538284889545,0.3,10,0.5,2.3697701343724016,0.0,2,3,Partial Understanding
13,15,0.75,3.65,5,7.9279050719388895,2.7292999681776484,0.1793953939742536,1.0,0.65,0.0,-0.04999999999999998,0,0.28936853512576943,0.0,10,0.1,0.21720287868325724,0.0,1,2,Guessing Behavior
14,3,0.15,1.15,2,28.76599800029287,9.25465357617595,0.10000000000000002,1.0,0.0,0.0,0.025000000000000078,0,0.330808977003368,1.0,13,0.85,2.5013911304602496,0.0,4,1,Careless Mistakes
15,10,0.5,1.75,3,43.12840522634064,22.37167053353351,0.5104774790916765,1.0,0.0,0.2,-1.2067383328930179e-17,4,0.7547470914609612,0.5,10,0.5,2.4644802986480365,0.0,2,3,Partial Understanding
16,0,0.0,1.0,1,28.914186943840598,10.775846863891912,0.0,1.0,0.0,0.0,-2.4134766657860358e-17,4,0.289141869438406,1.0,19,1.0,2.89141869438406,0.0,4,1,Careless Mistakes
17,14,0.7,2.4,4,37.624088577601796,19.812011205853835,0.8409261922476597,1.0,0.05,0.15,0.07500000000000001,2,0.9029781258624431,0.2857142857142857,14,0.3,1.5676703574000748,0.0,0,4,Misconception Errors
18,3,0.15,1.15,2,28.57096601098877,9.61935593267525,0.10000000000000002,1.0,0.0,0.0,3.8972025164387834e-17,0,0.3285661091263708,1.0,13,0.85,2.484431827042502,0.0,4,1,Careless Mistakes
19,10,0.5,1.75,3,41.16279141765448,15.640784961782908,0.5096408571039385,1.0,0.0,0.15,-1.2067383328930179e-17,4,0.7203488498089534,0.5,10,0.5,2.352159509580256,0.0,2,3,Partial Understanding
20,9,0.45,1.45,2,37.888005272858734,14.34037687608084,0.2,1.0,0.0,0.05,0.024999999999999977,2,0.5493760764564517,1.0,9,0.55,2.6129658808868093,0.0,3,0,Procedural Errors
21,9,0.45,1.45,2,35.26789673411487,11.668764580433228,0.2,1.0,0.0,0.0,-0.049999999999999996,3,0.5113845026446656,1.0,6,0.55,2.432268740283784,0.0,3,0,Procedural Errors
