student_id,assignment_id,question_id,is_correct,attempts,response_time,error_consistency,true_error_type
1,1,A1_Q1,1,1,36.47688538100692,0.0,3
1,1,A1_Q2,1,1,45.23029856408026,0.0,3
1,1,A1_Q3,1,1,45.79212815507391,0.0,3
1,1,A1_Q4,0,2,40.30525614065048,0.2,3
1,2,A2_Q1,1,1,35.42560043585965,0.0,3
1,2,A2_Q2,0,2,35.75917162252895,0.2,3
1,2,A2_Q3,0,2,39.37712470759027,0.2,3
1,2,A2_Q4,1,1,25.719539358237654,0.0,3
1,3,A3_Q1,1,1,22.575931628808277,0.0,3
1,3,A3_Q2,0,2,50.97720466912608,0.2,3
1,3,A3_Q3,0,2,46.10922589709866,0.2,3
1,3,A3_Q4,1,1,23.997461498940883,0.0,3
1,4,A4_Q1,0,2,34.78447805324402,0.2,3
1,4,A4_Q2,1,1,28.38244613602479,0.0,3
1,4,A4_Q3,1,1,38.225449121031886,0.0,3
1,4,A4_Q4,0,2,31.718139511015693,0.2,3
1,5,A5_Q1,0,2,47.186383160538625,0.2,3
1,5,A5_Q2,0,2,43.843517176117594,0.2,3
1,5,A5_Q3,1,1,26.988963044107113,0.0,3
1,5,A5_Q4,1,1,37.73700416833682,0.0,3
2,1,A1_Q1,1,1,24.618583383370403,0.0,3
2,1,A1_Q2,1,1,21.565800766407154,0.0,3
2,1,A1_Q3,1,1,24.866745946028338,0.0,3
2,1,A1_Q4,1,1,14.36933205413487,0.0,3
2,2,A2_Q1,1,1,22.04369007862987,0.0,3
2,2,A2_Q2,0,2,51.77767409673341,0.2,3
2,2,A2_Q3,0,2,50.97044646179076,0.2,3
2,2,A2_Q4,1,1,28.31794911900915,0.0,3
2,3,A3_Q1,1,1,41.64768645504524,0.0,3
2,3,A3_Q2,0,2,57.33496804543057,0.2,3
2,3,A3_Q3,1,1,34.57885077000015,0.0,3
2,3,A3_Q4,0,2,49.67794753263152,0.2,3
2,4,A4_Q1,1,1,37.361223506692575,0.0,3
2,4,A4_Q2,1,1,23.851242405826895,0.0,3
2,4,A4_Q3,1,1,33.32892440488929,0.0,3
2,4,A4_Q4,0,2,54.61173766418355,0.2,3
2,5,A5_Q1,0,2,49.23943069790934,0.2,3
2,5,A5_Q2,0,2,46.903369849651675,0.2,3
2,5,A5_Q3,0,2,53.237330769751416,0.2,3
2,5,A5_Q4,1,1,15.330321148204739,0.0,3
3,1,A1_Q1,1,1,38.92629471506162,0.0,3
3,1,A1_Q2,0,2,54.68644990532889,0.2,3
